Sample	MappedReadCount
RNA13_P5_M06_WK4_concoct.83	206780
RNA13_P5_M06_WK4_concoct.92_sub	44674
RNA13_P5_M06_WK4_concoct.95	550851
RNA13_P5_M06_WK4_maxbin.10	78328
RNA13_P5_M06_WK4_maxbin.11	240081
RNA13_P5_M06_WK4_maxbin.12_sub	55842
RNA13_P5_M06_WK4_maxbin.15_sub	265887
RNA13_P5_M06_WK4_maxbin.17	202060
RNA13_P5_M06_WK4_maxbin.21	41352
RNA13_P5_M06_WK4_maxbin.41	793977
RNA13_P5_M06_WK4_maxbin.54	47174
RNA13_P5_M06_WK4_metabat2.12	61746
RNA13_P5_M06_WK4_metabat2.16_sub	245738
RNA13_P5_M06_WK4_metabat2.47	39813
RNA13_P5_M06_WK4_metabat2.4_sub	897687
RNA13_P5_M06_WK4_metabat2.65	141879
RNA13_P5_M06_WK4_metabat2.80	184058
RNA13_P5_M06_WK4_metabat2.91	94191
RNA14_P18_M06_WK4_concoct.113	175593
RNA14_P18_M06_WK4_concoct.20	189049
RNA14_P18_M06_WK4_concoct.35	86506
RNA14_P18_M06_WK4_concoct.37_sub	140133
RNA14_P18_M06_WK4_concoct.38	685360
RNA14_P18_M06_WK4_concoct.41	47291
RNA14_P18_M06_WK4_concoct.48_sub	234102
RNA14_P18_M06_WK4_concoct.56	397383
RNA14_P18_M06_WK4_concoct.57	16340
RNA14_P18_M06_WK4_concoct.58	280766
RNA14_P18_M06_WK4_concoct.60	228834
RNA14_P18_M06_WK4_concoct.68	624735
RNA14_P18_M06_WK4_concoct.69	427777
RNA14_P18_M06_WK4_concoct.74	82570
RNA14_P18_M06_WK4_concoct.77_sub	31640
RNA14_P18_M06_WK4_concoct.78	209967
RNA14_P18_M06_WK4_concoct.7	335951
RNA14_P18_M06_WK4_concoct.82_sub	98612
RNA14_P18_M06_WK4_concoct.83	172849
RNA14_P18_M06_WK4_concoct.92_sub	28537
RNA14_P18_M06_WK4_concoct.95	277365
RNA14_P18_M06_WK4_maxbin.10	46128
RNA14_P18_M06_WK4_maxbin.11	414061
RNA14_P18_M06_WK4_maxbin.12_sub	42661
RNA14_P18_M06_WK4_maxbin.15_sub	213323
RNA14_P18_M06_WK4_maxbin.17	531011
RNA14_P18_M06_WK4_maxbin.21	17550
RNA14_P18_M06_WK4_maxbin.41	361787
RNA14_P18_M06_WK4_maxbin.54	21195
RNA14_P18_M06_WK4_metabat2.12	53328
RNA14_P18_M06_WK4_metabat2.16_sub	202202
RNA14_P18_M06_WK4_metabat2.47	20847
RNA14_P18_M06_WK4_metabat2.4_sub	468081
RNA14_P18_M06_WK4_metabat2.65	152128
RNA14_P18_M06_WK4_metabat2.80	175994
RNA14_P18_M06_WK4_metabat2.91	160683
RNA15_P45_M06_WK4_concoct.113	155060
RNA15_P45_M06_WK4_concoct.20	115722
RNA15_P45_M06_WK4_concoct.35	85567
RNA15_P45_M06_WK4_concoct.37_sub	137099
RNA15_P45_M06_WK4_concoct.38	670843
RNA15_P45_M06_WK4_concoct.41	54151
RNA15_P45_M06_WK4_concoct.48_sub	132888
RNA15_P45_M06_WK4_concoct.56	485235
RNA15_P45_M06_WK4_concoct.57	17348
RNA15_P45_M06_WK4_concoct.58	233119
RNA15_P45_M06_WK4_concoct.60	205615
RNA15_P45_M06_WK4_concoct.68	718856
RNA15_P45_M06_WK4_concoct.69	346262
RNA15_P45_M06_WK4_concoct.74	93990
RNA15_P45_M06_WK4_concoct.77_sub	30351
RNA15_P45_M06_WK4_concoct.78	219661
RNA15_P45_M06_WK4_concoct.7	437024
RNA15_P45_M06_WK4_concoct.82_sub	65116
RNA15_P45_M06_WK4_concoct.83	131144
RNA15_P45_M06_WK4_concoct.92_sub	28613
