Sample	MappedReadCount
DNA12_P45_M06_WK1_maxbin.10_modified_drep_counts	18559
DNA12_P45_M06_WK1_maxbin.11_modified_drep_counts	138456
DNA12_P45_M06_WK1_maxbin.12_sub_modified_drep_counts	19344
DNA12_P45_M06_WK1_maxbin.15_sub_modified_drep_counts	177976
DNA12_P45_M06_WK1_maxbin.17_modified_drep_counts	80402
DNA12_P45_M06_WK1_maxbin.21_modified_drep_counts	14173
DNA12_P45_M06_WK1_maxbin.41_modified_drep_counts	1093216
DNA12_P45_M06_WK1_maxbin.54_modified_drep_counts	31159
DNA12_P45_M06_WK1_metabat2.12_modified_drep_counts	10449
DNA12_P45_M06_WK1_metabat2.16_sub_modified_drep_counts	134657
DNA12_P45_M06_WK1_metabat2.47_modified_drep_counts	45988
DNA12_P45_M06_WK1_metabat2.4_sub_modified_drep_counts	618503
DNA12_P45_M06_WK1_metabat2.65_modified_drep_counts	61558
DNA12_P45_M06_WK1_metabat2.80_modified_drep_counts	27472
DNA12_P45_M06_WK1_metabat2.91_modified_drep_counts	31986
DNA16_P5_M06_WK9_concoct.113_modified_drep_counts	5411
DNA16_P5_M06_WK9_concoct.20_modified_drep_counts	13837
DNA16_P5_M06_WK9_concoct.35_modified_drep_counts	2386
DNA16_P5_M06_WK9_concoct.37_sub_modified_drep_counts	22357
DNA16_P5_M06_WK9_concoct.38_modified_drep_counts	41053
DNA16_P5_M06_WK9_concoct.41_modified_drep_counts	2688
DNA16_P5_M06_WK9_concoct.48_sub_modified_drep_counts	3336
DNA16_P5_M06_WK9_concoct.56_modified_drep_counts	35155
DNA16_P5_M06_WK9_concoct.57_modified_drep_counts	20824
DNA16_P5_M06_WK9_concoct.58_modified_drep_counts	33254
DNA16_P5_M06_WK9_concoct.60_modified_drep_counts	31048
DNA16_P5_M06_WK9_concoct.68_modified_drep_counts	12375
DNA16_P5_M06_WK9_concoct.69_modified_drep_counts	13539
DNA16_P5_M06_WK9_concoct.74_modified_drep_counts	21926
DNA16_P5_M06_WK9_concoct.77_sub_modified_drep_counts	20676
DNA16_P5_M06_WK9_concoct.78_modified_drep_counts	29729
DNA16_P5_M06_WK9_concoct.7_modified_drep_counts	16548
DNA16_P5_M06_WK9_concoct.82_sub_modified_drep_counts	2036
DNA16_P5_M06_WK9_concoct.83_modified_drep_counts	6562
DNA16_P5_M06_WK9_concoct.92_sub_modified_drep_counts	20715
DNA16_P5_M06_WK9_concoct.95_modified_drep_counts	30422
DNA16_P5_M06_WK9_maxbin.10_modified_drep_counts	2347
DNA16_P5_M06_WK9_maxbin.11_modified_drep_counts	23557
DNA16_P5_M06_WK9_maxbin.12_sub_modified_drep_counts	1443
DNA16_P5_M06_WK9_maxbin.15_sub_modified_drep_counts	35385
DNA16_P5_M06_WK9_maxbin.17_modified_drep_counts	42075
DNA16_P5_M06_WK9_maxbin.21_modified_drep_counts	1045
DNA16_P5_M06_WK9_maxbin.41_modified_drep_counts	33357
DNA16_P5_M06_WK9_maxbin.54_modified_drep_counts	1148
DNA16_P5_M06_WK9_metabat2.12_modified_drep_counts	340
DNA16_P5_M06_WK9_metabat2.16_sub_modified_drep_counts	26372
DNA16_P5_M06_WK9_metabat2.47_modified_drep_counts	3407
DNA16_P5_M06_WK9_metabat2.4_sub_modified_drep_counts	17601
DNA16_P5_M06_WK9_metabat2.65_modified_drep_counts	8356
DNA16_P5_M06_WK9_metabat2.80_modified_drep_counts	7163
DNA16_P5_M06_WK9_metabat2.91_modified_drep_counts	3685
DNA17_P18_M06_WK9_concoct.113_modified_drep_counts	505189
DNA17_P18_M06_WK9_concoct.20_modified_drep_counts	104163
DNA17_P18_M06_WK9_concoct.35_modified_drep_counts	215455
DNA17_P18_M06_WK9_concoct.37_sub_modified_drep_counts	442982
DNA17_P18_M06_WK9_concoct.38_modified_drep_counts	1495546
DNA17_P18_M06_WK9_concoct.41_modified_drep_counts	49658
DNA17_P18_M06_WK9_concoct.48_sub_modified_drep_counts	71013
DNA17_P18_M06_WK9_concoct.56_modified_drep_counts	1683794
DNA17_P18_M06_WK9_concoct.57_modified_drep_counts	48596
DNA17_P18_M06_WK9_concoct.58_modified_drep_counts	1190864
DNA17_P18_M06_WK9_concoct.60_modified_drep_counts	1132460
